video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_2018,TTitle_trailer,TTitle_vs,TTitle_2017,TTitle_new,TTitle_live,TTitle_make,TTitle_ft,TDesc_video,TDesc_follow,TDesc_thi,TDesc_subscrib,TDesc_twitter,TDesc_facebook,TDesc_instagram,TDesc_watch,TDesc_get,TDesc_like,TTags_funny,TTags_comedy,TTags_humor,TTags_music,TTags_[none],TTags_interview,TTags_comedian,TTags_celebrity,TTags_television,TTags_news
0Rj7pHC_6jc,906304,28144,708,4905,False,False,False,23,0.8695652173913043,False,False,1,829,0.09167671893848006,True,True,False,124,58,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False
0Rt329xQUjM,352742,11503,214,1161,False,False,False,67,0.16417910447761197,False,False,7,1125,0.06666666666666665,True,True,False,106,33,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0TNVthqZ3uc,1875878,105866,1370,4881,False,False,False,62,0.22580645161290325,False,False,8,664,0.14156626506024095,True,True,False,100,28,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
0URpDxIjZrQ,6095300,164449,4190,18665,False,False,False,34,0.11764705882352944,False,False,1,1545,0.062135922330097126,True,True,False,154,25,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0WPYpeJA__U,35467,227,8,48,False,False,False,48,0.22916666666666663,False,False,3,1413,0.08563340410474174,True,True,False,175,33,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False
0XARMt12oFk,1339943,6223,1708,3828,False,False,False,85,0.17647058823529416,False,False,6,2189,0.08222932846048425,True,True,False,256,32,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
0XtCnGT0B20,162087,7293,92,644,False,False,False,90,0.1444444444444445,False,False,8,870,0.05057471264367819,True,True,False,123,20,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0XuOkYlUWIs,6760593,229250,8891,22123,False,False,False,58,0.13793103448275867,False,False,8,1273,0.10054988216810679,True,True,False,158,32,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False
0YVbVXOjJv4,6345613,5155,281,636,False,False,False,68,0.11764705882352944,False,False,2,621,0.033816425120772986,True,True,False,80,24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
0ZAA9Y4F37I,52395,288,477,319,False,False,False,68,0.1470588235294118,False,False,6,4,0.25,False,False,False,0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
