video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_trailer,TTitle_ft,TTitle_2018,TTitle_music,TTitle_new,TTitle_war,TTitle_live,TTitle_2017,TDesc_video,TDesc_show,TDesc_thi,TDesc_music,TDesc_live,TDesc_new,TDesc_jimmi,TDesc_hi,TDesc_twitter,TDesc_late,TTags_funny,TTags_comedy,TTags_music,TTags_[none],TTags_interview,TTags_humor,TTags_trailer,TTags_video,TTags_late night,TTags_comedian
1hTLGlgZ4Z8,336967,6752,49,500,False,False,False,47,0.25531914893617025,True,False,2,134,0.25373134328358204,False,False,False,10,22,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1hX1KSKqVmo,435697,7621,247,1150,False,False,False,72,0.16666666666666663,False,False,4,500,0.15000000000000002,True,True,False,138,13,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1ihTE5cxUCQ,96286,753,54,221,False,False,False,32,0.15625,False,False,5,113,0.08849557522123896,False,False,False,14,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1l26UFQ06eQ,4649310,60641,8997,13976,False,False,False,21,0.23809523809523814,False,False,1,492,0.0934959349593496,True,True,False,90,32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False
1m7WNpBbjKM,21410,351,11,30,False,False,False,72,0.33333333333333337,True,True,3,360,0.13055555555555554,True,True,True,40,13,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1qsRU7C_Gp0,722366,13531,6811,4031,False,False,False,22,0.13636363636363635,False,False,5,4,0.25,False,False,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1sl5KJ69qiA,2368985,104805,3037,17100,False,False,False,39,0.17948717948717952,False,False,3,658,0.04103343465045595,True,True,False,58,11,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1vc1cKeor5A,76068,3340,64,677,False,False,False,67,0.17910447761194026,False,False,6,1089,0.06887052341597799,True,True,False,114,24,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1vtYKgv28Jw,23297,88,2,9,False,False,False,79,0.1392405063291139,False,False,4,163,0.08588957055214719,False,False,False,9,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1x_5E3gquFo,168312,950,1043,260,False,False,False,92,0.15217391304347827,False,False,6,496,0.1108870967741935,True,True,False,49,11,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1xvyVnkcgtE,315175,7515,612,1519,False,False,False,31,0.12903225806451613,False,False,2,384,0.08072916666666663,False,False,False,26,22,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1zKXeSkAgEs,146971,5009,147,274,False,False,False,72,0.125,False,False,4,1879,0.08834486428951571,True,True,False,200,21,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1zNr8Pf1QkY,2198480,23920,13221,19227,False,False,False,51,0.0980392156862745,False,False,6,803,0.0535491905354919,True,True,False,106,31,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-bTbRjqjoE,99706,2702,304,1514,False,False,False,40,0.4,False,False,6,2051,0.3549488054607508,True,True,False,222,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
20bpjtCbCz0,24152049,429341,5175,28740,False,False,False,29,0.13793103448275867,False,False,1,901,0.06548279689234182,True,True,False,83,24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
21jcP-1w4DA,120676,4101,212,158,False,False,False,41,0.5609756097560976,False,False,2,1999,0.08154077038519258,True,True,True,342,23,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
